date,title,source,keyword_type
2023-10-20,"Meet the climate crisis speed-daters: ‘If you don’t love the planet, you won’t be my boo’",The Guardian,Climate Crisis
2020-01-24, Record funding for flood defences in England as climate crisis worsens risks,The Guardian,Climate Crisis
2022-09-15, Campaigners call for climate crisis global day of action during Cop27,The Guardian,Climate Crisis
2022-02-28," Climate emergency a ‘national security’ concern, says Red Cross",The Guardian,Climate Crisis
2022-10-19, Climate crisis ‘may put 8bn at risk of malaria and dengue’ ,The Guardian,Climate Crisis
2022-07-28, Humanity can’t equivocate any longer. This is a climate emergencyRebecca Solnit and Terry Tempest Williams,The Guardian,Climate Crisis
2021-10-04, Sicilian coffee dream a step closer as climate crisis upends farming,The Guardian,Climate Crisis
2023-04-07," This article is more than 9 months oldClimate crisis causing more home runs in baseball, study suggestsThis article is more than 9 months old",The Guardian,Climate Crisis
2021-09-07, Christian leaders unite to issue stark warning over climate crisis,The Guardian,Climate Crisis
2022-03-21, New season at London’s Donmar to include ‘shocking’ play on climate crisis,The Guardian,Climate Crisis
2023-11-27," This article is more than 1 month oldClimate crisis and energy costs fuel £600 rise in UK household food bill, analysis findsThis article is more than 1 month old",The Guardian,Climate Crisis
2022-04-15, Tory MP Steve Baker shares paper denying climate crisis,The Guardian,Climate Crisis
2023-06-06," This article is more than 7 months oldClimate crisis: rich nations undermining work to help poor countries, research suggestsThis article is more than 7 months old",The Guardian,Climate Crisis
2023-08-14," This article is more than 5 months oldEven in Greek towns razed by wildfires, people don’t blame the climate crisis. That must changeThis article is more than 5 months oldChristy Lefteri",The Guardian,Climate Crisis
2023-06-28, This article is more than 6 months oldCurrent heatwave across US south made five times more likely by climate crisisThis article is more than 6 months old,The Guardian,Climate Crisis
2023-07-10, This article is more than 6 months oldJanet Yellen urges China to boost funding to tackle climate crisisThis article is more than 6 months old,The Guardian,Climate Crisis
2019-03-08,InterviewAntónio Guterres on the climate crisis: ‘We are coming to a point of no return’Oliver Milman,The Guardian,Climate Crisis
2019-07-01,LettersThe United Nations’ leading role in tackling the climate emergency,The Guardian,Climate Crisis
2023-01-05, Climate crisis prompts RHS to plan for sending rhododendrons north,The Guardian,Climate Crisis
2022-10-30,ReviewThe Contingency Plan review – a double dose of climate crisis drama,The Guardian,Climate Crisis
2023-05-31," This article is more than 7 months oldFor some US residents, it is now impossible to get home insurance - and all because of the climate crisisThis article is more than 7 months oldArwa Mahdawi",The Guardian,Climate Crisis
2023-09-25,Introducing Southern Frontlines – news on the climate crisis from Latin America and the Caribbean,The Guardian,Climate Crisis
2021-10-30,Rebuild or relocate? Climate crisis leaves New Zealand coastal communities facing tough choice ,The Guardian,Climate Crisis
2021-11-02," Working at the World Bank, I can see how it is failing humanity on the climate crisisJake Hess",The Guardian,Climate Crisis
2022-06-01," We cannot adapt our way out of climate crisis, warns leading scientist",The Guardian,Climate Crisis
2021-10-20,"Malcolm Turnbull on Murdoch, lies and the climate crisis: ‘The same forces that enabled Trump are at work in Australia’",The Guardian,Climate Crisis
2023-12-10, This article is more than 1 month oldThe Guardian view on Labour and the climate crisis: the £28bn question deserves an answerThis article is more than 1 month oldEditorial,The Guardian,Climate Crisis
2020-05-21,‘It was sad having to leave’: Climate crisis splits Alaskan town in half,The Guardian,Climate Crisis
2023-08-07,Can’t stand the heat: how can UK workplaces adapt to the climate crisis?,The Guardian,Climate Crisis
2022-10-19,World’s poorest bear brunt of climate crisis: 10 underreported emergencies,The Guardian,Climate Crisis
,Why climate crisis means some English roses will bloom no longer,The Guardian,Climate Crisis
2021-09-28,How climate crisis made my British butterfly hunt a race against time,The Guardian,Climate Crisis
2018-12-15, Ardern says climate crisis is ‘life or death’ as New Zealand landmark report calls for sweeping changes,The Guardian,Climate Crisis
2020-11-05," ‘Relentless’ climate crisis intensified in 2020, says UN report",The Guardian,Climate Crisis
2023-07-30,Emergency viewing: 15 must-see films about the climate crisis ,The Guardian,Climate Crisis
2023-05-22, This article is more than 7 months oldWhy I stopped arguing about the climate emergency and tried the silent treatment insteadThis article is more than 7 months oldHelena Echlin,The Guardian,Climate Crisis
2021-10-27," The climate crisis is global, but councils can offer local solutionsStephen Smellie",The Guardian,Climate Crisis
2021-10-26, Net zero diaries: three people on the climate crisis and the UK’s response,The Guardian,Climate Crisis
2019-08-21, Britain could be taking the lead in tackling the climate crisis. Where’s the ambition?Keir Starmer,The Guardian,Climate Crisis
2023-01-05," Reliance on hi-tech solutions to climate crisis perpetuates racism, says UN official",The Guardian,Climate Crisis
2022-02-24, Supreme court case could restrict Biden’s effort to tackle climate crisis,The Guardian,Climate Crisis
2022-04-29,‘Potentially devastating’: Climate crisis may fuel future pandemics,The Guardian,Climate Crisis
2023-08-31, This article is more than 6 months oldWoodside LNG: Australia’s ‘biggest’ contribution to climate crisis a step closer to 50-year extensionThis article is more than 6 months old,The Guardian,Climate Crisis
2021-10-23," Climate crisis education should be embedded in system, say unions",The Guardian,Climate Crisis
2021-12-28, Britons think politicians’ hypocrisy will hamper tackling climate crisis,The Guardian,Climate Crisis
2023-02-11, This article is more than 11 months old‘We create changemakers’: the new UK college dedicated to climate crisisThis article is more than 11 months old,The Guardian,Climate Crisis
2021-12-27,"Spanish should eat less meat to limit climate crisis, says minister",The Guardian,Climate Crisis
2023-06-07, This article is more than 7 months old‘No one saw this level of devastation coming’: climate crisis worsens in Somalia This article is more than 7 months old,The Guardian,Climate Crisis
2021-08-24,ExplainerQ&A: did the climate crisis fuel Henri and the Tennessee flooding?,The Guardian,Climate Crisis
2023-02-27, This article is more than 10 months oldResearch reveals climate crisis is driving a rise in human-wildlife conflictsThis article is more than 10 months old,The Guardian,Climate Crisis
2023-07-31, This article is more than 5 months oldMonday briefing: Why Rishi Sunak stopped worrying about the climate crisisThis article is more than 5 months old,The Guardian,Climate Crisis
2020-01-11," If we want to fight the climate crisis, we must embrace nuclear powerBhaskar Sunkara",The Guardian,Climate Crisis
2023-02-16,AnalysisWhy World Bank head’s resignation is good news for climate crisis fightFiona Harvey Environment editor,The Guardian,Climate Crisis
2020-07-19, Mark Rylance: arts should tell ‘love stories’ about nature to tackle climate crisis,The Guardian,Climate Crisis
2022-07-28,"Climate crisis ‘insufficient’ to halt oil and gas exploration, says New Zealand government",The Guardian,Climate Crisis
2023-10-02," This article is more than 3 months oldSlow route to net zero will worsen global climate crisis, IPCC chief warnsThis article is more than 3 months old",The Guardian,Climate Crisis
2023-01-19,Bewick’s swan population vanishing in Britain amid the climate crisis,The Guardian,Climate Crisis
2022-05-16," Australian authorities to buy out fisheries, citing climate crisis ",The Guardian,Climate Crisis
2022-02-02, Climate crisis 'likely cause' of early cherry blossom in Japan,The Guardian,Climate Crisis
2023-01-16," This year, I only needed to open my window in Brazil to witness the climate crisisEliane Brum",The Guardian,Climate Crisis
2022-05-24, Sharp cut in methane now could help avoid worst of climate crisis,The Guardian,Climate Crisis
2022-03-30, The Met Office will declare fewer heatwaves: what a gift for climate crisis deniersEleanor Salter,The Guardian,Climate Crisis
2022-01-02,Sands of time are slipping away for England’s crumbling coasts amid climate crisis,The Guardian,Climate Crisis
,‘Citizens’ juries’ deliver climate crisis verdict to Westminster,The Guardian,Climate Crisis
2023-06-17, This article is more than 6 months oldParis talks to focus on funding poor countries to tackle climate crisisThis article is more than 6 months old,The Guardian,Climate Crisis
2021-11-15, Cop26 took us one step closer to combating the climate crisisChristiana Figueres,The Guardian,Climate Crisis
2022-10-19,‘We have to use a boat to commute’: coastal Ghana hit by climate crisis,The Guardian,Climate Crisis
2021-11-03, ‘Super polluters’: the top 10 publishers denying the climate crisis on Facebook,The Guardian,Climate Crisis
2022-11-04, Spanish minister urges Sunak to commit to climate crisis fight,The Guardian,Climate Crisis
2022-05-07,‘Nature doesn’t fix itself fast’: Greenland weighs up economy v climate crisis,The Guardian,Climate Crisis
2019-06-20,"'Kern runs on oil': as California confronts climate crisis, one county is ready to drill",The Guardian,Climate Crisis
2023-12-10, This article is more than 1 month oldUN sets out roadmap to combat global hunger amid climate crisisThis article is more than 1 month old,The Guardian,Climate Crisis
2023-10-30," This article is more than 2 months oldClimate crisis: carbon emissions budget is now tiny, scientists sayThis article is more than 2 months old",The Guardian,Climate Crisis
2023-11-21," This article is more than 1 month oldOf course working-class people care about the climate crisis: they emit the least, but will suffer mostThis article is more than 1 month oldRoger Harding",The Guardian,Climate Crisis
2023-08-26, This article is more than 4 months oldScientific journal retracts article that claimed no evidence of climate crisisThis article is more than 4 months old,The Guardian,Climate Crisis
2018-04-28," Climate crisis bigger concern than pandemic for Australian businesses, survey finds",The Guardian,Climate Crisis
2021-12-23, At last I have good news on the climate crisis: all of us really can do something about itZoe Williams,The Guardian,Climate Crisis
2022-03-14, Farmers’ report warns climate crisis puts Australia’s food supply at increasing risk,The Guardian,Climate Crisis
2023-11-03,LettersConfronting the reality of climate emergency,The Guardian,Climate Crisis
2023-02-22, This article is more than 10 months old‘Making the climate crisis worse’: Greens blast Labor after Queensland coal seam gas expansion approvedThis article is more than 10 months old,The Guardian,Climate Crisis
2022-03-22, Terrawatch: how carbon-eating rocks could help fight climate crisis,The Guardian,Climate Crisis
2023-09-25," This article is more than 3 months oldPetrostate windfall tax would help poor countries in climate crisis, says BrownThis article is more than 3 months old",The Guardian,Climate Crisis
2022-08-22," New Zealand’s flood-prone areas not ready to cope with climate crisis, Ardern says",The Guardian,Climate Crisis
2021-10-27, City broker launches weather data index to trade climate crisis risk,The Guardian,Climate Crisis
2022-06-17, Rare birds’ arrival an ‘unmissable sign’ climate emergency has reached Britain,The Guardian,Climate Crisis
2023-03-19, This article is more than 9 months oldSamoa PM urges world to save Pacific people from climate crisis obliterationThis article is more than 9 months old,The Guardian,Climate Crisis
2022-04-27, New Zealand unveils plan to tackle climate crisis by adapting cities to survive rising seas,The Guardian,Climate Crisis
2021-09-06, Australia warned climate crisis will ‘wreak havoc’ on economy if coal isn’t phased out,The Guardian,Climate Crisis
2022-04-19,A beginners’ guide to planting trees – and fighting the climate crisis,The Guardian,Climate Crisis
2022-07-19, The Guardian view on public attitudes to the climate crisis: burning for changeEditorial,The Guardian,Climate Crisis
2021-11-13, It’s a fairytale that world governments will fix our climate crisis. It’s up to usBill McKibben,The Guardian,Climate Crisis
2023-11-30, This article is more than 1 month oldYoung people can help solve the climate crisis. Let’s give them a seat at the table This article is more than 1 month oldRachel Ruto and Liesbet Steer,The Guardian,Climate Crisis
2019-02-01, One in four cities cannot afford climate crisis protection measures – study,The Guardian,Climate Crisis
2022-11-16, Devastating floods in Nigeria were 80 times more likely because of climate crisis,The Guardian,Climate Crisis
2019-04-02, China sandstorms highlight threat of climate crisis,The Guardian,Climate Crisis
2019-04-02, Politicians from across world call for ‘global green deal’ to tackle climate crisis,The Guardian,Climate Crisis
2024-01-04,ReviewNot the End of the World by Hannah Ritchie review – an optimist’s guide to the climate crisis,The Guardian,Climate Crisis
2023-12-06, This article is more than 9 months oldUS banks are sacrificing poor communities to the climate crisisThis article is more than 9 months oldBen Jealous and Bill McKibben,The Guardian,Climate Crisis
2020-11-01, David Attenborough Netflix documentary: Australian scientists break down in tears over climate crisis,The Guardian,Climate Crisis
2020-07-05, ‘Time to shake things up’: music industry confronts climate crisis as gigs resume,The Guardian,Climate Crisis
2019-11-20," Climate crisis to shrink G7 economies twice as much as Covid-19, says research",The Guardian,Climate Crisis
2023-12-07, The climate crisis is a crime that should be prosecutedMark Hertsgaard,The Guardian,Climate Crisis
2023-05-26,How to improve US cities and tackle the climate crisis? Get rid of parking spaces,The Guardian,Climate Crisis
2022-11-09," Cop27: ending war in Ukraine necessary to tackle climate crisis, Zelenskiy says",The Guardian,Climate Crisis
2023-08-30,Why it may be time to stop using the polar bear as a symbol of the climate crisis,The Guardian,Climate Crisis
, Help us support those on the frontline of the climate emergencyKatharine Viner,The Guardian,Climate Crisis
2023-02-12, This article is more than 10 months oldClimate crisis fuels new wave of TV ‘eco thrillers’This article is more than 10 months old,The Guardian,Climate Crisis
2022-06-22,"ObituaryPhilip Sutton, inspiring Australian activist who sounded climate emergency alarm",The Guardian,Climate Crisis
2021-10-16, Poor countries must not be forced to take on debt to tackle climate crisisThe Secret Negotiator,The Guardian,Climate Crisis
2022-07-21," Destruction of nature as threatening as climate crisis, EU deputy warns",The Guardian,Climate Crisis
2023-10-25," This article is more than 3 months oldHumanity has ‘opened gates to hell’ by letting climate crisis worsen, UN secretary warnsThis article is more than 3 months old",The Guardian,Climate Crisis
,John Kerry in China: climate crisis must be separated from politics ,The Guardian,Climate Crisis
2018-09-05,Planet Defenders: CBBC to air children's show on nature and the climate crisis,The Guardian,Climate Crisis
2023-03-14,"InterviewJack Thompson on David Bowie, the climate crisis and posing nude: ‘I didn’t need persuading’Andrew Stafford",The Guardian,Climate Crisis
2019-01-31, Climate crisis behind drastic drop in Arctic wildlife populations – report,The Guardian,Climate Crisis
2023-10-02, This article is more than 3 months old Type of storm that drenched New York is up to 20% wetter due to climate crisisThis article is more than 3 months old,The Guardian,Climate Crisis
2022-10-14, UK joins calls for World Bank reform to focus funding on climate crisis,The Guardian,Climate Crisis
2019-09-24, Joe Biden invites 40 world leaders to virtual summit on climate crisis,The Guardian,Climate Crisis
2023-04-18, This article is more than 8 months oldHorticulturists turn to ‘desert gardens’ at UK flower shows amid climate crisisThis article is more than 8 months old,The Guardian,Climate Crisis
2022-08-12, French PM sounds climate crisis alarm as ‘ogre-like’ wildfire rages,The Guardian,Climate Crisis
2022-11-16,LettersCurbing population growth will do little to solve the climate crisis,The Guardian,Climate Crisis
2022-10-05,"Climate crisis made summer drought 20 times more likely, scientists find",The Guardian,Climate Crisis
2023-03-12,"Interview‘We’ve lost the right to be pessimistic’: Patagonia treads fine line tackling climate crisis as for-profit companyLauren Aratani in Ventura, California",The Guardian,Climate Crisis
2023-10-26," This article is more than 2 months oldEarth close to ‘risk tipping points’ that will damage our ability to deal with climate crisis, warns UNThis article is more than 2 months old",The Guardian,Climate Crisis
2021-12-09, How will humanity endure the climate crisis? I asked an acclaimed sci-fi writerDaniel Aldana Cohen,The Guardian,Climate Crisis
2022-06-29, EU countries reach climate crisis deal after late-night talks,The Guardian,Climate Crisis
2022-09-24," Australia should compensate Torres Strait Islanders for climate crisis failure, UN says ",The Guardian,Climate Crisis
2018-02-17, Polish government faces court action over failure to tackle climate crisis,The Guardian,Climate Crisis
, US and China commit to cooperating on climate crisis,The Guardian,Climate Crisis
2023-09-28, This article is more than 3 months oldWhat is the climate crisis doing to Australia’s weather extremes? A Coalition frontbencher gets it ‘patently wrong’This article is more than 3 months oldGraham Readfearn,The Guardian,Climate Crisis
2021-10-27," InterviewUK can reach net zero but time is running out, says climate crisis chiefZoe Williams",The Guardian,Climate Crisis
2022-11-05,US voters hit hardest by climate crisis: ‘I need politicians to care about this’,The Guardian,Climate Crisis
2023-07-03,‘Green amendments’: advocates push for constitutional guarantees in face of climate crisis,The Guardian,Climate Crisis
2023-06-28,AnalysisTime is short for Tories and Labour to show leadership on the climate crisisFiona Harvey Environment editor,The Guardian,Climate Crisis
2018-02-07," Last thing we need is a 'cosy consensus' on climate crisis, warns Ed Miliband",The Guardian,Climate Crisis
2020-09-19, Ignore the rhetoric: the UK government still fails to grasp the climate crisisChris Venables,The Guardian,Climate Crisis
2021-11-30, A powerful and underappreciated ally in the climate crisis? FungiToby Kiers and Merlin Sheldrake,The Guardian,Climate Crisis
, Angela Merkel says Germany must do more to fight climate crisis,The Guardian,Climate Crisis
2022-11-08, Australian prime minister blasts opposition leader over demand to ‘rule out’ compensating other countries for climate crisis,The Guardian,Climate Crisis
2023-09-07, This article is more than 4 months oldAfrican leaders call for debt relief to help tackle climate crisisThis article is more than 4 months old,The Guardian,Climate Crisis
2018-12-20," Flash floods will be more common as climate crisis worsens, say scientists",The Guardian,Climate Crisis
2021-08-30, Over-50s want climate crisis addressed ‘even if it leads to high prices’,The Guardian,Climate Crisis
2021-05-15, How we talk about the climate crisis is increasingly crucial to tackling itSusanna Rustin,The Guardian,Climate Crisis
2023-06-08," This article is more than 7 months oldClimate crisis leading to more turbulence during flights, says studyThis article is more than 7 months old",The Guardian,Climate Crisis
2021-09-06, UK urged to back sale of artificial meat to tackle climate crisis,The Guardian,Climate Crisis
2022-03-05,"Record growth, record heat, record drought: how will Las Vegas weather the climate crisis?",The Guardian,Climate Crisis
2022-10-19,‘We just pray for rain’: Niger is in the eye of the climate crisis – and children are starving,The Guardian,Climate Crisis
2021-11-29," Climate crisis posing growing risk to the homeless, UK charities tell ministers",The Guardian,Climate Crisis
,How grassroots schemes across UK are tackling climate crisis,The Guardian,Climate Crisis
2022-04-22, Google doodle marks Earth Day 2022 with stark images of climate crisis,The Guardian,Climate Crisis
2023-06-20," This article is more than 6 months oldAustralians far less aware of biodiversity loss than climate crisis, research findsThis article is more than 6 months old",The Guardian,Climate Crisis
2019-12-09, Fairness will be key to successfully tackling the climate crisisLarry Elliott,The Guardian,Climate Crisis
2023-02-13,Clive Palmer-owned company withdraws appeal against ruling that coalmine would worsen climate crisis,The Guardian,Climate Crisis
," This article is more than 3 months oldIMF should give poor countries $300bn a year to fight climate crisis, says Joseph StiglitzThis article is more than 3 months old",The Guardian,Climate Crisis
2021-11-11, Youth activists petition UN to declare ‘systemwide climate emergency’,The Guardian,Climate Crisis
2023-12-11,AnalysisThe climate crisis will amplify the UK’s existing health inequalities Tobi Thomas Health and inequalities correspondent,The Guardian,Climate Crisis
2022-02-16,Biden his time: how the US president is failing on the climate crisis,The Guardian,Climate Crisis
2022-05-18, Scientists have just told us how to solve the climate crisis – will the world listen? Simon Lewis,The Guardian,Climate Crisis
2022-10-25, Emperor penguins listed as endangered by US because of climate crisis,The Guardian,Climate Crisis
2022-05-12, GB News chairman has history of dismissing threat of climate crisis,The Guardian,Climate Crisis
2018-04-04,'California and Texas are warnings': blackouts show US deeply unprepared for the climate crisis,The Guardian,Climate Crisis
2021-12-09, Labor calls for ‘grassroots mobilisation’ of religious Australians to tackle climate crisis,The Guardian,Climate Crisis
2022-06-07,LettersWhy the four-day working week may worsen the climate crisis,The Guardian,Climate Crisis
2023-01-10, Governments urged to confront effects of climate crisis on migrants,The Guardian,Climate Crisis
2023-11-29,10 ways the climate crisis and nature loss are linked,The Guardian,Climate Crisis
2021-11-26,How has Cop26 shifted the dial on the climate crisis? A visual guide,The Guardian,Climate Crisis
2023-02-15,ReviewFinite: The Climate of Change review – powerful case against climate crisis fatigue,The Guardian,Climate Crisis
2022-07-18," Heatwaves caused by climate crisis may become regular event, says Met Office chief",The Guardian,Climate Crisis
2022-04-20, Interview‘Capitalism didn’t understand community’: Brian Eno steps up the climate crisis battleGreg Cochrane,The Guardian,Climate Crisis
," This article is more than 6 months oldMonday was hottest day for global average temperature on record, as climate crisis bitesThis article is more than 6 months old",The Guardian,Climate Crisis
2023-12-24,2023 was the year governments looked at the climate crisis – and decided to persecute the activistsOwen Jones,The Guardian,Climate Crisis
," This article is more than 7 months oldCanada wildfires: blazes intensifying due to climate crisis, says Kamala Harris; Trudeau accuses opposition of inaction – as it happenedThis article is more than 7 months old",The Guardian,Climate Crisis
2021-11-05," Link between equality and climate crisis overlooked, Welsh report finds",The Guardian,Climate Crisis
